Date,MA5,MA20,MA5_to_MA20,Price_to_MA20,Daily_Return,Lag1_Return,Lag2_Return,Volume_Change,Volatility_5d,Target
2024-07-23,1522.9642578125,1538.5055358886718,0.9898984581376921,0.9555837558870398,-0.00851276997821282,-0.03502887038023872,-0.01986862427358238,-0.08245913364672908,0.015268005909665473,1
2024-07-24,1507.0462158203125,1540.5582885742188,0.9782467998760881,0.9593132182328984,0.005242268948590256,-0.00851276997821282,-0.03502887038023872,-0.340054677464779,0.01756353166881457,0
2024-07-25,1488.4158447265625,1539.489923095703,0.966824025540591,0.957860889751553,-0.002206367739850834,0.005242268948590256,-0.00851276997821282,0.0509103979212584,0.01579230773130952,1
2024-07-26,1479.3007568359376,1538.4265014648438,0.9615673907251283,0.9692007957698319,0.011139841643223125,-0.002206367739850834,0.005242268948590256,-0.21245705628394407,0.01791272829382852,1
2024-07-29,1483.139453125,1536.1884826660157,0.9654671089260151,0.9777361811359339,0.007339065583135795,0.011139841643223125,-0.002206367739850834,-0.23543652395450687,0.007889297334008259,0
2024-07-30,1488.1292724609375,1533.8664855957031,0.9701817507819119,0.9747393330238467,-0.0045719870763648585,0.007339065583135795,0.011139841643223125,0.0914841713592136,0.006591635315119457,0
2024-07-31,1490.0510986328125,1530.9145812988281,0.9733077970742514,0.9716329563501125,-0.0051052320852108535,-0.0045719870763648585,0.007339065583135795,0.22230089467840375,0.007434595222769875,1
2024-08-01,1494.5765380859375,1529.0804504394532,0.9774348613615461,0.9791796006124605,0.006559602753897442,-0.0051052320852108535,-0.0045719870763648585,0.07028454624112568,0.00742897962552213,0
2024-08-02,1492.659619140625,1526.3780334472656,0.9779095259707787,0.9705718781740743,-0.010542560853573302,0.006559602753897442,-0.0051052320852108535,-0.04607615859279013,0.007858292295000773,0
2024-08-05,1478.278076171875,1519.3972229003907,0.9729371976539334,0.9412149266491576,-0.03468218047007954,-0.010542560853573302,0.006559602753897442,0.6601375424512537,0.015301939175027104,1
