Date,MA5,MA20,MA5_to_MA20,Price_to_MA20,Daily_Return,Lag1_Return,Lag2_Return,Volume_Change,Volatility_5d,Target
2024-07-23,223.3333953857422,221.8333839416504,1.006761883254174,1.005608814315562,0.00468821062779301,-0.0015602300322087315,0.000579924625589312,-0.17097909206710127,0.013522641315330606,0
2024-07-24,221.283154296875,222.30281677246094,0.9954131823861251,0.9746307553683041,-0.028754315948423814,0.00468821062779301,-0.0015602300322087315,0.5459743795717249,0.014643333966756697,0
2024-07-25,219.9566436767578,222.51299514770508,0.9885114508963831,0.9690318400545214,-0.004804624361154031,-0.028754315948423814,0.00468821062779301,-0.1681256636709746,0.013194962968487907,1
2024-07-26,218.69754638671876,222.7043357849121,0.9820084805081518,0.9702915482270761,0.002160991266374035,-0.004804624361154031,-0.028754315948423814,-0.19049759491897444,0.013408396600684555,1
2024-07-29,217.56336059570313,223.0820625305176,0.9752615612738497,0.9698929631630566,0.0012846049642016855,0.002160991266374035,-0.004804624361154031,-0.12714746894928763,0.013683082901608506,1
2024-07-30,216.33202514648437,223.18368225097657,0.969300367144282,0.9719390179750872,0.002566054789141292,0.0012846049642016855,0.002160991266374035,0.14683931944987583,0.013332565411596432,1
2024-07-31,217.03394470214843,223.27340545654297,0.972054617335028,0.9861127865164359,0.014990858974981425,0.002566054789141292,0.0012846049642016855,0.20153059999327638,0.007215273705972117,0
2024-08-01,217.20645446777343,223.11527633666992,0.9735167310552937,0.9702819524804016,-0.0167506373515669,0.014990858974981425,0.002566054789141292,0.24911314385755934,0.011342384566803828,1
2024-08-02,217.58318786621095,222.7940574645996,0.9766112720523678,0.9783555460964064,0.006869195039620246,-0.0167506373515669,0.014990858974981425,0.6890705748708021,0.011669123769603414,0
2024-08-05,215.80459899902343,221.8745216369629,0.9726425432124594,0.9350905944026556,-0.04816688834441718,0.006869195039620246,-0.0167506373515669,0.13242574022957587,0.025254793339879095,0
2024-08-06,213.5104736328125,220.81123275756835,0.9669366497637761,0.9304341068082805,-0.009748152083675299,-0.04816688834441718,0.006869195039620246,-0.4173039249309486,0.024545286546353875,1
2024-08-07,211.07953491210938,219.66317825317384,0.9609236131001831,0.9469865093479517,0.012498225875941849,-0.009748152083675299,-0.04816688834441718,-0.08820063019932389,0.023913759123204533,1
2024-08-08,210.0782043457031,218.9563003540039,0.9594526579324419,0.9658460285372192,0.016633202940700142,0.012498225875941849,-0.009748152083675299,-0.25749727629399655,0.026453176565859698,1
2024-08-09,209.3604278564453,218.24744186401367,0.9592801000017874,0.9822929308152067,0.013735921405697349,0.016633202940700142,0.012498225875941849,-0.10516082110044078,0.027346542892568815,1
2024-08-12,211.04816589355468,217.42366790771484,0.9706770561111763,0.9930449181710183,0.007129995240501064,0.013735921405697349,0.016633202940700142,-0.09889435471640884,0.010528632563365226,1
2024-08-13,213.8828338623047,216.76468200683593,0.9867051767019853,1.013189233294229,0.01719303512501158,0.007129995240501064,0.013735921405697349,0.16112295907499985,0.004033375360893268,1
2024-08-14,216.29327697753905,216.42247772216797,0.9994030160545765,1.0168550157019123,0.002033660905750745,0.01719303512501158,0.007129995240501064,-0.04970411253009266,0.006564076687761724,1
2024-08-15,218.6072570800781,216.46213989257814,1.0099098955067363,1.0304248758859293,0.013530639501013964,0.002033660905750745,0.01719303512501158,0.10613289609776788,0.006067045676447255,1
2024-08-16,220.6042907714844,216.56136322021484,1.0186687389253197,1.0360485565488495,0.005918521088720485,0.013530639501013964,0.002033660905750745,-0.04468048433662253,0.006104198347463852,0
2024-08-19,222.26384887695312,216.66999359130858,1.0258173971989675,1.0347960754368017,-0.0007078936088067422,0.005918521088720485,0.013530639501013964,-0.08237220400449252,0.007583389759590803,1
2024-08-20,223.304052734375,216.75734634399413,1.0302029273784854,1.037218184513506,0.0027447672069089712,-0.0007078936088067422,0.005918521088720485,-0.2553296074007442,0.0054690612262539165,0
2024-08-21,224.23308715820312,217.1599609375,1.0325710420565917,1.0347922938070386,-0.00048574365779430195,0.0027447672069089712,-0.0007078936088067422,0.14741410607610805,0.005877402997867999,0
2024-08-22,224.19537048339845,217.52182159423828,1.0306799053090356,1.0245380836985973,-0.008259618147733572,-0.00048574365779430195,0.0027447672069089712,0.25685809207403887,0.005277219473758689,1
2024-08-23,224.35219116210936,217.9750244140625,1.029256410293745,1.0329265555415799,0.010288105431222272,-0.008259618147733572,-0.00048574365779430195,-0.11484072657700028,0.006704000311365123,1
2024-08-26,224.6082733154297,218.43122177124025,1.0282791603420989,1.0323142816824815,0.0014988911986753006,0.010288105431222272,-0.008259618147733572,-0.20878137822443654,0.006659322119470468,1
2024-08-27,224.910009765625,218.9018424987793,1.0274468556237903,1.0339490107632214,0.003741518211471506,0.0014988911986753006,0.010288105431222272,0.17424891020906985,0.006733233854213617,0
2024-08-28,224.927880859375,219.13344497680663,1.0264424989219771,1.0258808717861672,-0.006753463329221221,0.003741518211471506,0.0014988911986753006,0.05892927707557627,0.007679000118685048,1
2024-08-29,225.97205200195313,219.7132209777832,1.028486365073146,1.038081572682158,0.014570134898927556,-0.006753463329221221,0.003741518211471506,0.3640814460136339,0.008230876303813207,0
2024-08-30,226.4008361816406,220.17943649291993,1.028256043288224,1.0323221626914092,-0.003437973805193839,0.014570134898927556,-0.006753463329221221,0.020893417562030114,0.00817707084752854,0
2024-09-03,225.52539978027343,220.86142196655274,1.021117213554964,1.00113675726698,-0.027205147556289666,-0.003437973805193839,0.014570134898927556,-0.05284313503476079,0.015419061670531045,0
2024-09-04,224.10008544921874,221.54924545288085,1.0115136478624587,0.9894268491074907,-0.008618762157690196,-0.027205147556289666,-0.003437973805193839,-0.1265256840922404,0.014885904453359751,1
